Fp1_mean,Fp1_standard_deviation,Fp1_variance,Fp1_peak_to_peak,Fp1_skewness,Fp1_kurtosis
-1.6419986709924958e-08,-1.6419986709924958e-08,-1.6419986709924958e-08,-1.6419986709924958e-08,-1.6419986709924958e-08,-1.6419986709924958e-08
-1.0292578849305763e-08,-1.0292578849305763e-08,-1.0292578849305763e-08,-1.0292578849305763e-08,-1.0292578849305763e-08,-1.0292578849305763e-08
8.590615135193074e-08,8.590615135193074e-08,8.590615135193074e-08,8.590615135193074e-08,8.590615135193074e-08,8.590615135193074e-08
-6.100613717297897e-08,-6.100613717297897e-08,-6.100613717297897e-08,-6.100613717297897e-08,-6.100613717297897e-08,-6.100613717297897e-08
-2.211489470105574e-08,-2.211489470105574e-08,-2.211489470105574e-08,-2.211489470105574e-08,-2.211489470105574e-08,-2.211489470105574e-08
1.6960522783244947e-07,1.6960522783244947e-07,1.6960522783244947e-07,1.6960522783244947e-07,1.6960522783244947e-07,1.6960522783244947e-07
-4.083323539688359e-07,-4.083323539688359e-07,-4.083323539688359e-07,-4.083323539688359e-07,-4.083323539688359e-07,-4.083323539688359e-07
1.594142455863459e-07,1.594142455863459e-07,1.594142455863459e-07,1.594142455863459e-07,1.594142455863459e-07,1.594142455863459e-07
1.2544899202532165e-08,1.2544899202532165e-08,1.2544899202532165e-08,1.2544899202532165e-08,1.2544899202532165e-08,1.2544899202532165e-08
2.318180649825858e-08,2.318180649825858e-08,2.318180649825858e-08,2.318180649825858e-08,2.318180649825858e-08,2.318180649825858e-08
-7.427919413800128e-08,-7.427919413800128e-08,-7.427919413800128e-08,-7.427919413800128e-08,-7.427919413800128e-08,-7.427919413800128e-08
7.735195646215006e-08,7.735195646215006e-08,7.735195646215006e-08,7.735195646215006e-08,7.735195646215006e-08,7.735195646215006e-08
1.3055762678997394e-07,1.3055762678997394e-07,1.3055762678997394e-07,1.3055762678997394e-07,1.3055762678997394e-07,1.3055762678997394e-07
-2.316383043859557e-08,-2.316383043859557e-08,-2.316383043859557e-08,-2.316383043859557e-08,-2.316383043859557e-08,-2.316383043859557e-08
