Fp1_mean,Fp1_standard_deviation,Fp1_variance,Fp1_peak_to_peak,Fp1_skewness,Fp1_kurtosis
5.17367804064316e-09,5.17367804064316e-09,5.17367804064316e-09,5.17367804064316e-09,5.17367804064316e-09,5.17367804064316e-09
3.7118121123848745e-09,3.7118121123848745e-09,3.7118121123848745e-09,3.7118121123848745e-09,3.7118121123848745e-09,3.7118121123848745e-09
4.648967928481511e-09,4.648967928481511e-09,4.648967928481511e-09,4.648967928481511e-09,4.648967928481511e-09,4.648967928481511e-09
4.359301975176589e-09,4.359301975176589e-09,4.359301975176589e-09,4.359301975176589e-09,4.359301975176589e-09,4.359301975176589e-09
6.383094541279951e-09,6.383094541279951e-09,6.383094541279951e-09,6.383094541279951e-09,6.383094541279951e-09,6.383094541279951e-09
4.531506236799304e-09,4.531506236799304e-09,4.531506236799304e-09,4.531506236799304e-09,4.531506236799304e-09,4.531506236799304e-09
4.789179961468352e-09,4.789179961468352e-09,4.789179961468352e-09,4.789179961468352e-09,4.789179961468352e-09,4.789179961468352e-09
4.457995871779678e-09,4.457995871779678e-09,4.457995871779678e-09,4.457995871779678e-09,4.457995871779678e-09,4.457995871779678e-09
4.730017729703353e-09,4.730017729703353e-09,4.730017729703353e-09,4.730017729703353e-09,4.730017729703353e-09,4.730017729703353e-09
7.059499115301487e-09,7.059499115301487e-09,7.059499115301487e-09,7.059499115301487e-09,7.059499115301487e-09,7.059499115301487e-09
4.344231776838002e-09,4.344231776838002e-09,4.344231776838002e-09,4.344231776838002e-09,4.344231776838002e-09,4.344231776838002e-09
4.813433218305832e-09,4.813433218305832e-09,4.813433218305832e-09,4.813433218305832e-09,4.813433218305832e-09,4.813433218305832e-09
4.218681006755369e-09,4.218681006755369e-09,4.218681006755369e-09,4.218681006755369e-09,4.218681006755369e-09,4.218681006755369e-09
6.350328202865809e-09,6.350328202865809e-09,6.350328202865809e-09,6.350328202865809e-09,6.350328202865809e-09,6.350328202865809e-09
4.116332414709679e-09,4.116332414709679e-09,4.116332414709679e-09,4.116332414709679e-09,4.116332414709679e-09,4.116332414709679e-09
3.940504725881421e-09,3.940504725881421e-09,3.940504725881421e-09,3.940504725881421e-09,3.940504725881421e-09,3.940504725881421e-09
4.0876676910828796e-09,4.0876676910828796e-09,4.0876676910828796e-09,4.0876676910828796e-09,4.0876676910828796e-09,4.0876676910828796e-09
4.301007014347568e-09,4.301007014347568e-09,4.301007014347568e-09,4.301007014347568e-09,4.301007014347568e-09,4.301007014347568e-09
6.650265217676505e-09,6.650265217676505e-09,6.650265217676505e-09,6.650265217676505e-09,6.650265217676505e-09,6.650265217676505e-09
4.305948151456055e-09,4.305948151456055e-09,4.305948151456055e-09,4.305948151456055e-09,4.305948151456055e-09,4.305948151456055e-09
4.268259539283841e-09,4.268259539283841e-09,4.268259539283841e-09,4.268259539283841e-09,4.268259539283841e-09,4.268259539283841e-09
4.56708570344881e-09,4.56708570344881e-09,4.56708570344881e-09,4.56708570344881e-09,4.56708570344881e-09,4.56708570344881e-09
3.835753669361818e-09,3.835753669361818e-09,3.835753669361818e-09,3.835753669361818e-09,3.835753669361818e-09,3.835753669361818e-09
4.6482847037459886e-09,4.6482847037459886e-09,4.6482847037459886e-09,4.6482847037459886e-09,4.6482847037459886e-09,4.6482847037459886e-09
6.227504087936414e-09,6.227504087936414e-09,6.227504087936414e-09,6.227504087936414e-09,6.227504087936414e-09,6.227504087936414e-09
5.511790327374767e-09,5.511790327374767e-09,5.511790327374767e-09,5.511790327374767e-09,5.511790327374767e-09,5.511790327374767e-09
4.094423182270592e-09,4.094423182270592e-09,4.094423182270592e-09,4.094423182270592e-09,4.094423182270592e-09,4.094423182270592e-09
4.98479099719787e-09,4.98479099719787e-09,4.98479099719787e-09,4.98479099719787e-09,4.98479099719787e-09,4.98479099719787e-09
5.738442570046577e-09,5.738442570046577e-09,5.738442570046577e-09,5.738442570046577e-09,5.738442570046577e-09,5.738442570046577e-09
4.613846690433559e-09,4.613846690433559e-09,4.613846690433559e-09,4.613846690433559e-09,4.613846690433559e-09,4.613846690433559e-09
3.956770535611134e-09,3.956770535611134e-09,3.956770535611134e-09,3.956770535611134e-09,3.956770535611134e-09,3.956770535611134e-09
4.1503011329580685e-09,4.1503011329580685e-09,4.1503011329580685e-09,4.1503011329580685e-09,4.1503011329580685e-09,4.1503011329580685e-09
4.273407240905587e-09,4.273407240905587e-09,4.273407240905587e-09,4.273407240905587e-09,4.273407240905587e-09,4.273407240905587e-09
3.0765945860938683e-09,3.0765945860938683e-09,3.0765945860938683e-09,3.0765945860938683e-09,3.0765945860938683e-09,3.0765945860938683e-09
4.644465461862462e-09,4.644465461862462e-09,4.644465461862462e-09,4.644465461862462e-09,4.644465461862462e-09,4.644465461862462e-09
4.2848020052723456e-09,4.2848020052723456e-09,4.2848020052723456e-09,4.2848020052723456e-09,4.2848020052723456e-09,4.2848020052723456e-09
