Fp1_mean,Fp1_standard_deviation,Fp1_variance,Fp1_peak_to_peak,Fp1_skewness,Fp1_kurtosis
9.56924234687132e-09,9.56924234687132e-09,9.56924234687132e-09,9.56924234687132e-09,9.56924234687132e-09,9.56924234687132e-09
6.660770494260172e-09,6.660770494260172e-09,6.660770494260172e-09,6.660770494260172e-09,6.660770494260172e-09,6.660770494260172e-09
6.914255919624914e-09,6.914255919624914e-09,6.914255919624914e-09,6.914255919624914e-09,6.914255919624914e-09,6.914255919624914e-09
6.3741585682560595e-09,6.3741585682560595e-09,6.3741585682560595e-09,6.3741585682560595e-09,6.3741585682560595e-09,6.3741585682560595e-09
7.1229775697468086e-09,7.1229775697468086e-09,7.1229775697468086e-09,7.1229775697468086e-09,7.1229775697468086e-09,7.1229775697468086e-09
9.308956145543231e-09,9.308956145543231e-09,9.308956145543231e-09,9.308956145543231e-09,9.308956145543231e-09,9.308956145543231e-09
6.462919980067323e-09,6.462919980067323e-09,6.462919980067323e-09,6.462919980067323e-09,6.462919980067323e-09,6.462919980067323e-09
6.978180561740265e-09,6.978180561740265e-09,6.978180561740265e-09,6.978180561740265e-09,6.978180561740265e-09,6.978180561740265e-09
7.4251732991584605e-09,7.4251732991584605e-09,7.4251732991584605e-09,7.4251732991584605e-09,7.4251732991584605e-09,7.4251732991584605e-09
6.686576676912993e-09,6.686576676912993e-09,6.686576676912993e-09,6.686576676912993e-09,6.686576676912993e-09,6.686576676912993e-09
7.533415648932574e-09,7.533415648932574e-09,7.533415648932574e-09,7.533415648932574e-09,7.533415648932574e-09,7.533415648932574e-09
9.51432041778543e-09,9.51432041778543e-09,9.51432041778543e-09,9.51432041778543e-09,9.51432041778543e-09,9.51432041778543e-09
8.396760846036445e-09,8.396760846036445e-09,8.396760846036445e-09,8.396760846036445e-09,8.396760846036445e-09,8.396760846036445e-09
7.526280492163047e-09,7.526280492163047e-09,7.526280492163047e-09,7.526280492163047e-09,7.526280492163047e-09,7.526280492163047e-09
8.656330266983836e-09,8.656330266983836e-09,8.656330266983836e-09,8.656330266983836e-09,8.656330266983836e-09,8.656330266983836e-09
8.651179587574892e-09,8.651179587574892e-09,8.651179587574892e-09,8.651179587574892e-09,8.651179587574892e-09,8.651179587574892e-09
7.47988095459929e-09,7.47988095459929e-09,7.47988095459929e-09,7.47988095459929e-09,7.47988095459929e-09,7.47988095459929e-09
6.702347705662452e-09,6.702347705662452e-09,6.702347705662452e-09,6.702347705662452e-09,6.702347705662452e-09,6.702347705662452e-09
7.2430574811750294e-09,7.2430574811750294e-09,7.2430574811750294e-09,7.2430574811750294e-09,7.2430574811750294e-09,7.2430574811750294e-09
7.066106800306667e-09,7.066106800306667e-09,7.066106800306667e-09,7.066106800306667e-09,7.066106800306667e-09,7.066106800306667e-09
5.141398814648361e-09,5.141398814648361e-09,5.141398814648361e-09,5.141398814648361e-09,5.141398814648361e-09,5.141398814648361e-09
8.016029733933048e-09,8.016029733933048e-09,8.016029733933048e-09,8.016029733933048e-09,8.016029733933048e-09,8.016029733933048e-09
7.1438094103003175e-09,7.1438094103003175e-09,7.1438094103003175e-09,7.1438094103003175e-09,7.1438094103003175e-09,7.1438094103003175e-09
